,report_date,total_cases,total_deaths,total_recovered,active_cases,country_region_name,new_cases,new_cases_sma,new_deaths,new_deaths_ratio,new_deaths_sma,new_recovered,new_recovered_sma
1,03/11,1908,3,25,1880,Germany,451.0,,1.0,0.5,,7.0,
2,03/12,2078,3,25,2050,Germany,170.0,,0.0,0.0,,0.0,
3,03/13,3675,7,46,3622,Germany,1597.0,,4.0,1.3333333333333335,,21.0,
4,03/14,4585,9,46,4530,Germany,910.0,,2.0,0.2857142857142858,,0.0,
5,03/15,5795,11,46,5738,Germany,1210.0,,2.0,0.22222222222222232,,0.0,
6,03/16,7272,17,67,7188,Germany,1477.0,,6.0,0.5454545454545454,,21.0,
7,03/17,9257,24,67,9166,Germany,1985.0,1114.2857142857142,7.0,0.41176470588235303,3.142857142857143,0.0,7.0
8,03/18,12327,28,105,12194,Germany,3070.0,1488.4285714285713,4.0,0.16666666666666674,3.5714285714285716,38.0,11.428571428571429
9,03/19,15320,44,113,15163,Germany,2993.0,1891.7142857142858,16.0,0.5714285714285714,5.857142857142857,8.0,12.571428571428571
10,03/20,19848,67,180,19601,Germany,4528.0,2310.4285714285716,23.0,0.5227272727272727,8.571428571428571,67.0,19.142857142857142
11,03/21,22213,84,233,21896,Germany,2365.0,2518.285714285714,17.0,0.25373134328358216,10.714285714285714,53.0,26.714285714285715
12,03/22,24873,94,266,24513,Germany,2660.0,2725.4285714285716,10.0,0.11904761904761907,11.857142857142858,33.0,31.428571428571427
13,03/23,29056,123,453,28480,Germany,4183.0,3112.0,29.0,0.3085106382978724,15.142857142857142,187.0,55.142857142857146
14,03/24,32986,157,3243,29586,Germany,3930.0,3389.8571428571427,34.0,0.2764227642276422,19.0,2790.0,453.7142857142857
15,03/25,37323,206,3547,33570,Germany,4337.0,3570.8571428571427,49.0,0.3121019108280254,25.428571428571427,304.0,491.7142857142857
16,03/26,43938,267,5673,37998,Germany,6615.0,4088.285714285714,61.0,0.296116504854369,31.857142857142858,2126.0,794.2857142857143
17,03/27,50871,342,6658,43871,Germany,6933.0,4431.857142857143,75.0,0.2808988764044944,39.285714285714285,985.0,925.4285714285714
18,03/28,57695,433,8481,48781,Germany,6824.0,5068.857142857143,91.0,0.26608187134502925,49.857142857142854,1823.0,1178.2857142857142
19,03/29,62095,533,9211,52351,Germany,4400.0,5317.428571428572,100.0,0.23094688221709014,62.714285714285715,730.0,1277.857142857143
20,03/30,66885,645,13500,52740,Germany,4790.0,5404.142857142857,112.0,0.21013133208255153,74.57142857142857,4289.0,1863.857142857143
21,03/31,71808,775,16100,54933,Germany,4923.0,5546.0,130.0,0.20155038759689914,88.28571428571429,2600.0,1836.7142857142858
22,04/01,77872,920,18700,58252,Germany,6064.0,5792.714285714285,145.0,0.1870967741935483,102.0,2600.0,2164.714285714286
23,04/02,84794,1107,22440,61247,Germany,6922.0,5836.571428571428,187.0,0.20326086956521738,120.0,3740.0,2395.285714285714
24,04/03,91159,1275,24575,65309,Germany,6365.0,5755.428571428572,168.0,0.1517615176151761,133.28571428571428,2135.0,2559.5714285714284
25,04/04,96092,1444,26400,68248,Germany,4933.0,5485.285714285715,169.0,0.13254901960784315,144.42857142857142,1825.0,2559.8571428571427
26,04/05,100123,1584,28700,69839,Germany,4031.0,5432.571428571428,140.0,0.09695290858725758,150.14285714285714,2300.0,2784.1428571428573
27,04/06,103374,1810,28700,72864,Germany,3251.0,5212.714285714285,226.0,0.14267676767676774,166.42857142857142,0.0,2171.4285714285716
28,04/07,107663,2016,36081,69566,Germany,4289.0,5122.142857142857,206.0,0.1138121546961326,177.28571428571428,7381.0,2854.4285714285716
29,04/08,113296,2349,46300,64647,Germany,5633.0,5060.571428571428,333.0,0.1651785714285714,204.14285714285714,10219.0,3942.8571428571427
30,04/09,118181,2607,52407,63167,Germany,4885.0,4769.571428571428,258.0,0.10983397190293731,214.28571428571428,6107.0,4281.0
31,04/10,122171,2767,53913,65491,Germany,3990.0,4430.285714285715,160.0,0.06137322593018801,213.14285714285714,1506.0,4191.142857142857
32,04/11,124908,2736,57400,64772,Germany,2737.0,4116.571428571428,-31.0,-0.011203469461510629,184.57142857142858,3487.0,4428.571428571428
33,04/12,127854,3022,60300,64532,Germany,2946.0,3961.5714285714284,286.0,0.10453216374269014,205.42857142857142,2900.0,4514.285714285715
34,04/13,130072,3194,64300,62578,Germany,2218.0,3814.0,172.0,0.056915949702184054,197.71428571428572,4000.0,5085.714285714285
35,04/14,131359,3294,68200,59865,Germany,1287.0,3385.1428571428573,100.0,0.031308703819661776,182.57142857142858,3900.0,4588.428571428572
36,04/15,134753,3804,72600,58349,Germany,3394.0,3065.285714285714,510.0,0.15482695810564673,207.85714285714286,4400.0,3757.1428571428573
37,04/16,137698,4052,77000,56646,Germany,2945.0,2788.1428571428573,248.0,0.06519453207150372,206.42857142857142,4400.0,3513.285714285714
38,04/17,141397,4352,83114,53931,Germany,3699.0,2746.5714285714284,300.0,0.07403751233958533,226.42857142857142,6114.0,4171.571428571428
39,04/18,143342,4459,85400,53483,Germany,1945.0,2633.4285714285716,107.0,0.024586397058823595,246.14285714285714,2286.0,4000.0
40,04/19,145184,4586,88000,52598,Germany,1842.0,2475.714285714286,127.0,0.028481722359273487,223.42857142857142,2600.0,3957.1428571428573
41,04/20,147065,4862,91500,50703,Germany,1881.0,2427.5714285714284,276.0,0.06018316615787178,238.28571428571428,3500.0,3885.714285714286
42,04/21,148291,5033,95200,48058,Germany,1226.0,2418.8571428571427,171.0,0.03517071164129981,248.42857142857142,3700.0,3857.1428571428573
43,04/22,150648,5279,99400,45969,Germany,2357.0,2270.714285714286,246.0,0.04887740909994043,210.71428571428572,4200.0,3828.5714285714284
44,04/23,153129,5575,103300,44254,Germany,2481.0,2204.4285714285716,296.0,0.05607122561091127,217.57142857142858,3900.0,3757.1428571428573
45,04/24,154999,5760,109800,39439,Germany,1870.0,1943.142857142857,185.0,0.033183856502242204,201.14285714285714,6500.0,3812.285714285714
46,04/25,156513,5877,109800,40836,Germany,1514.0,1881.5714285714287,117.0,0.020312499999999956,202.57142857142858,0.0,3485.714285714286
47,04/26,157770,5976,112000,39794,Germany,1257.0,1798.0,99.0,0.016845329249617125,198.57142857142858,2200.0,3428.5714285714284
48,04/27,158758,6126,114500,38132,Germany,988.0,1670.4285714285713,150.0,0.025100401606425793,180.57142857142858,2500.0,3285.714285714286
49,04/28,159912,6314,117400,36198,Germany,1154.0,1660.142857142857,188.0,0.030688867123734864,183.0,2900.0,3171.4285714285716
50,04/29,161539,6467,120400,34672,Germany,1627.0,1555.857142857143,153.0,0.02423186569528024,169.71428571428572,3000.0,3000.0
51,04/30,163009,6623,123500,32886,Germany,1470.0,1411.4285714285713,156.0,0.02412246791402506,149.71428571428572,3100.0,2885.714285714286
52,05/01,164077,6736,126900,30441,Germany,1068.0,1296.857142857143,113.0,0.017061754491922043,139.42857142857142,3400.0,2442.8571428571427
0,03/11,9000,354,2959,5687,Iran,,,,0.0,,,
1,03/12,10075,429,2959,6687,Iran,1075.0,,75.0,0.21186440677966112,,0.0,
2,03/13,11364,514,2959,7891,Iran,1289.0,,85.0,0.1981351981351982,,0.0,
3,03/14,12729,611,2959,9159,Iran,1365.0,,97.0,0.188715953307393,,0.0,
4,03/15,13938,724,4590,8624,Iran,1209.0,,113.0,0.18494271685761055,,1631.0,
5,03/16,14991,853,4590,9548,Iran,1053.0,,129.0,0.17817679558011057,,0.0,
6,03/17,16169,988,5389,9792,Iran,1178.0,,135.0,0.1582649472450175,,799.0,
7,03/18,17361,1135,5389,10837,Iran,1192.0,1194.4285714285713,147.0,0.14878542510121462,111.57142857142857,0.0,347.14285714285717
8,03/19,18407,1284,5710,11413,Iran,1046.0,1190.2857142857142,149.0,0.13127753303964762,122.14285714285714,321.0,393.0
9,03/20,19644,1433,6745,11466,Iran,1237.0,1182.857142857143,149.0,0.1160436137071652,131.28571428571428,1035.0,540.8571428571429
10,03/21,20610,1556,7635,11419,Iran,966.0,1125.857142857143,123.0,0.08583391486392178,135.0,890.0,668.0
11,03/22,21638,1685,7635,12318,Iran,1028.0,1100.0,129.0,0.08290488431876608,137.28571428571428,0.0,435.0
12,03/23,23049,1812,8376,12861,Iran,1411.0,1151.142857142857,127.0,0.07537091988130573,137.0,741.0,540.8571428571429
13,03/24,24811,1934,8913,13964,Iran,1762.0,1234.5714285714287,122.0,0.06732891832229582,135.14285714285714,537.0,503.42857142857144
14,03/25,27017,2077,9625,15315,Iran,2206.0,1379.4285714285713,143.0,0.07394002068252337,134.57142857142858,712.0,605.1428571428571
15,03/26,29406,2234,10457,16715,Iran,2389.0,1571.2857142857142,157.0,0.07558979297063062,135.71428571428572,832.0,678.1428571428571
16,03/27,32332,2378,11133,18821,Iran,2926.0,1812.5714285714287,144.0,0.0644583706356312,135.0,676.0,626.8571428571429
17,03/28,35408,2517,11679,21212,Iran,3076.0,2114.0,139.0,0.058452481076535,137.28571428571428,546.0,577.7142857142857
18,03/29,38309,2640,12391,23278,Iran,2901.0,2381.5714285714284,123.0,0.04886769964243154,136.42857142857142,712.0,679.4285714285714
19,03/30,41495,2757,13911,24827,Iran,3186.0,2635.1428571428573,117.0,0.04431818181818192,135.0,1520.0,790.7142857142857
20,03/31,44605,2898,14656,27051,Iran,3110.0,2827.714285714286,141.0,0.05114254624591941,137.71428571428572,745.0,820.4285714285714
21,04/01,47593,3036,15473,29084,Iran,2988.0,2939.4285714285716,138.0,0.04761904761904767,137.0,817.0,835.4285714285714
22,04/02,50468,3160,16711,30597,Iran,2875.0,3008.8571428571427,124.0,0.040843214756258295,132.28571428571428,1238.0,893.4285714285714
23,04/03,53183,3294,17935,31954,Iran,2715.0,2978.714285714286,134.0,0.042405063291139244,130.85714285714286,1224.0,971.7142857142857
24,04/04,55743,3452,19736,32555,Iran,2560.0,2905.0,158.0,0.04796599878567087,133.57142857142858,1801.0,1151.0
25,04/05,58226,3603,19736,34887,Iran,2483.0,2845.285714285714,151.0,0.04374275782155279,137.57142857142858,0.0,1049.2857142857142
26,04/06,60500,3739,24236,32525,Iran,2274.0,2715.0,136.0,0.037746322509020214,140.28571428571428,4500.0,1475.0
27,04/07,62589,3872,27039,31678,Iran,2089.0,2569.1428571428573,133.0,0.035571008290986805,139.14285714285714,2803.0,1769.0
28,04/08,64586,3993,29812,30781,Iran,1997.0,2427.5714285714284,121.0,0.03125,136.71428571428572,2773.0,2048.4285714285716
29,04/09,66220,4110,32309,29801,Iran,1634.0,2250.285714285714,117.0,0.029301277235161516,135.71428571428572,2497.0,2228.285714285714
30,04/10,68192,4232,35465,28495,Iran,1972.0,2144.1428571428573,122.0,0.029683698296836925,134.0,3156.0,2504.285714285714
31,04/11,70029,4357,41947,23725,Iran,1837.0,2040.857142857143,125.0,0.029536862003780806,129.28571428571428,6482.0,3173.0
32,04/12,71686,4474,43894,23318,Iran,1657.0,1922.857142857143,117.0,0.026853339453752678,124.42857142857143,1947.0,3451.1428571428573
33,04/13,73303,4585,45983,22735,Iran,1617.0,1829.0,111.0,0.02481001341081801,120.85714285714286,2089.0,3106.714285714286
34,04/14,74877,4683,48129,22065,Iran,1574.0,1755.4285714285713,98.0,0.021374045801526798,115.85714285714286,2146.0,3012.8571428571427
35,04/15,76389,4777,49933,21679,Iran,1512.0,1686.142857142857,94.0,0.02007260303224423,112.0,1804.0,2874.4285714285716
36,04/16,77995,4869,52229,20897,Iran,1606.0,1682.142857142857,92.0,0.019258949131254033,108.42857142857143,2296.0,2845.714285714286
37,04/17,79494,4958,54064,20472,Iran,1499.0,1614.5714285714287,89.0,0.018278907373177278,103.71428571428571,1835.0,2657.0
38,04/18,80868,5031,55987,19850,Iran,1374.0,1548.4285714285713,73.0,0.014723678902783366,96.28571428571429,1923.0,2005.7142857142858
39,04/19,82211,5118,57023,20070,Iran,1343.0,1503.5714285714287,87.0,0.017292784734645128,92.0,1036.0,1875.5714285714287
40,04/20,83505,5209,59273,19023,Iran,1294.0,1457.4285714285713,91.0,0.01778038296209461,89.14285714285714,2250.0,1898.5714285714287
41,04/21,84802,5297,60965,18540,Iran,1297.0,1417.857142857143,88.0,0.016893837588788596,87.71428571428571,1692.0,1833.7142857142858
42,04/22,85996,5391,63113,17492,Iran,1194.0,1372.4285714285713,94.0,0.01774589390220882,87.71428571428571,2148.0,1882.857142857143
43,04/23,87026,5481,64843,16702,Iran,1030.0,1290.142857142857,90.0,0.016694490818029983,87.42857142857143,1730.0,1802.0
44,04/24,88194,5574,66599,16021,Iran,1168.0,1242.857142857143,93.0,0.016967706622879053,88.0,1756.0,1790.7142857142858
45,04/25,89328,5650,68193,15485,Iran,1134.0,1208.5714285714287,76.0,0.013634732687477502,88.42857142857143,1594.0,1743.7142857142858
46,04/26,90481,5710,69657,15114,Iran,1153.0,1181.4285714285713,60.0,0.010619469026548645,84.57142857142857,1464.0,1804.857142857143
47,04/27,91472,5806,70933,14733,Iran,991.0,1138.142857142857,96.0,0.016812609457092842,85.28571428571429,1276.0,1665.7142857142858
48,04/28,92584,5877,72439,14268,Iran,1112.0,1111.7142857142858,71.0,0.012228728901136687,82.85714285714286,1506.0,1639.142857142857
49,04/29,93657,5957,73791,13909,Iran,1073.0,1094.4285714285713,80.0,0.01361238727241787,80.85714285714286,1352.0,1525.4285714285713
50,04/30,94640,6028,75103,13509,Iran,983.0,1087.7142857142858,71.0,0.011918751049185827,78.14285714285714,1312.0,1465.7142857142858
51,05/01,95646,6091,76318,13237,Iran,1006.0,1064.5714285714287,63.0,0.010451227604512336,73.85714285714286,1215.0,1388.4285714285713
0,03/10,10149,631,724,8794,Italy,,,,0.0,,,
1,03/11,12462,827,1045,10590,Italy,2313.0,,196.0,0.3106180665610143,,321.0,
2,03/12,12462,827,1045,10590,Italy,0.0,,0.0,0.0,,0.0,
3,03/13,17660,1266,1439,14955,Italy,5198.0,,439.0,0.5308343409915357,,394.0,
4,03/14,21157,1441,1966,17750,Italy,3497.0,,175.0,0.1382306477093207,,527.0,
5,03/15,24747,1809,2335,20603,Italy,3590.0,,368.0,0.2553782095766828,,369.0,
6,03/16,27980,2158,2749,23073,Italy,3233.0,,349.0,0.19292426755113312,,414.0,
7,03/17,31506,2503,2941,26062,Italy,3526.0,3051.0,345.0,0.159870250231696,267.42857142857144,192.0,316.7142857142857
8,03/18,35713,2978,4025,28710,Italy,4207.0,3321.5714285714284,475.0,0.18977227327207347,307.2857142857143,1084.0,425.7142857142857
9,03/19,41035,3405,4440,33190,Italy,5322.0,4081.8571428571427,427.0,0.1433848220282068,368.2857142857143,415.0,485.0
10,03/20,47021,4032,4440,38549,Italy,5986.0,4194.428571428572,627.0,0.1841409691629956,395.14285714285717,0.0,428.7142857142857
11,03/21,53578,4825,6072,42681,Italy,6557.0,4631.571428571428,793.0,0.1966765873015872,483.42857142857144,1632.0,586.5714285714286
12,03/22,59138,5476,7024,46638,Italy,5560.0,4913.0,651.0,0.13492227979274607,523.8571428571429,952.0,669.8571428571429
13,03/23,63927,6077,7432,50418,Italy,4789.0,5135.285714285715,601.0,0.10975164353542732,559.8571428571429,408.0,669.0
14,03/24,69176,6820,8326,54030,Italy,5249.0,5381.428571428572,743.0,0.12226427513575788,616.7142857142857,894.0,769.2857142857143
15,03/25,74386,7503,9362,57521,Italy,5210.0,5524.714285714285,683.0,0.10014662756598236,646.4285714285714,1036.0,762.4285714285714
16,03/26,80589,8215,10361,62013,Italy,6203.0,5650.571428571428,712.0,0.09489537518325997,687.1428571428571,999.0,845.8571428571429
17,03/27,86498,9134,10950,66414,Italy,5909.0,5639.571428571428,919.0,0.11186853317102852,728.8571428571429,589.0,930.0
18,03/28,92472,10023,12384,70065,Italy,5974.0,5556.285714285715,889.0,0.09732866214144953,742.5714285714286,1434.0,901.7142857142857
19,03/29,97689,10779,13030,73880,Italy,5217.0,5507.285714285715,756.0,0.0754265190062855,757.5714285714286,646.0,858.0
20,03/30,101739,11591,14620,75528,Italy,4050.0,5401.714285714285,812.0,0.07533166341961217,787.7142857142857,1590.0,1026.857142857143
21,03/31,105792,12428,15729,77635,Italy,4053.0,5230.857142857143,837.0,0.0722111983435425,801.1428571428571,1109.0,1057.5714285714287
22,04/01,110574,13155,16847,80572,Italy,4782.0,5169.714285714285,727.0,0.05849694238815584,807.4285714285714,1118.0,1069.2857142857142
23,04/02,115242,13915,18278,83049,Italy,4668.0,4950.428571428572,760.0,0.0577727099961991,814.2857142857143,1431.0,1131.0
24,04/03,119827,14681,19758,85388,Italy,4585.0,4761.285714285715,766.0,0.05504850880344958,792.4285714285714,1480.0,1258.2857142857142
25,04/04,124632,15362,20996,88274,Italy,4805.0,4594.285714285715,681.0,0.046386485934200694,762.7142857142857,1238.0,1230.2857142857142
26,04/05,128948,15887,21815,91246,Italy,4316.0,4465.571428571428,525.0,0.03417523759927099,729.7142857142857,819.0,1255.0
27,04/06,132547,16523,22837,93187,Italy,3599.0,4401.142857142857,636.0,0.04003273116384465,704.5714285714286,1022.0,1173.857142857143
28,04/07,135586,17127,24392,94067,Italy,3039.0,4256.285714285715,604.0,0.03655510500514425,671.2857142857143,1555.0,1237.5714285714287
29,04/08,139422,17669,26491,95262,Italy,3836.0,4121.142857142857,542.0,0.031645939160390046,644.8571428571429,2099.0,1377.7142857142858
30,04/09,143626,18279,28470,96877,Italy,4204.0,4054.8571428571427,610.0,0.0345237421472635,623.4285714285714,1979.0,1456.0
31,04/10,147577,18849,30455,98273,Italy,3951.0,3964.285714285714,570.0,0.031183325127195127,595.4285714285714,1985.0,1528.142857142857
32,04/11,152271,19468,32534,100269,Italy,4694.0,3948.4285714285716,619.0,0.0328399384582736,586.5714285714286,2079.0,1648.2857142857142
33,04/12,156363,19899,34211,102253,Italy,4092.0,3916.4285714285716,431.0,0.022138894596260617,573.1428571428571,1677.0,1770.857142857143
34,04/13,159516,20465,35435,103616,Italy,3153.0,3852.714285714286,566.0,0.028443640383938984,563.1428571428571,1224.0,1799.7142857142858
35,04/14,162488,21067,37130,104291,Italy,2972.0,3843.1428571428573,602.0,0.029416076227705812,562.8571428571429,1695.0,1819.7142857142858
36,04/15,165155,21645,38092,105418,Italy,2667.0,3676.1428571428573,578.0,0.02743627474248833,568.0,962.0,1657.2857142857142
37,04/16,168941,22170,40164,106607,Italy,3786.0,3616.4285714285716,525.0,0.02425502425502435,555.8571428571429,2072.0,1670.5714285714287
38,04/17,172434,22745,42727,106962,Italy,3493.0,3551.0,575.0,0.025935949481280973,556.5714285714286,2563.0,1753.142857142857
39,04/18,175925,23227,44927,107771,Italy,3491.0,3379.1428571428573,482.0,0.021191470652890843,537.0,2200.0,1770.4285714285713
40,04/19,178972,23660,47055,108257,Italy,3047.0,3229.8571428571427,433.0,0.01864209755887547,537.2857142857143,2128.0,1834.857142857143
41,04/20,181228,24114,48877,108237,Italy,2256.0,3101.714285714286,454.0,0.019188503803888368,521.2857142857143,1822.0,1920.2857142857142
42,04/21,183957,24648,51600,107709,Italy,2729.0,3067.0,534.0,0.022144812142324,511.57142857142856,2723.0,2067.1428571428573
43,04/22,187327,25085,54543,107699,Italy,3370.0,3167.4285714285716,437.0,0.01772963323596244,491.42857142857144,2943.0,2350.1428571428573
44,04/23,189973,25549,57576,106848,Italy,2646.0,3004.5714285714284,464.0,0.018497109826589586,482.7142857142857,3033.0,2487.4285714285716
45,04/24,192994,25969,60498,106527,Italy,3021.0,2937.1428571428573,420.0,0.016438999569454715,460.57142857142856,2922.0,2538.714285714286
46,04/25,195351,26384,63120,105847,Italy,2357.0,2775.1428571428573,415.0,0.015980592244599245,451.0,2622.0,2599.0
47,04/26,197675,26644,64928,106103,Italy,2324.0,2671.8571428571427,260.0,0.009854457246816217,426.2857142857143,1808.0,2553.285714285714
48,04/27,199414,26977,66624,105813,Italy,1739.0,2598.0,333.0,0.012498123404894201,409.0,1696.0,2535.285714285714
49,04/28,201505,27359,68941,105205,Italy,2091.0,2506.8571428571427,382.0,0.014160210549727603,387.2857142857143,2317.0,2477.285714285714
50,04/29,203591,27682,71252,104657,Italy,2086.0,2323.4285714285716,323.0,0.011805987060930612,371.0,2311.0,2387.0
51,04/30,205463,27967,75945,101551,Italy,1872.0,2212.8571428571427,285.0,0.010295498880138698,345.42857142857144,4693.0,2624.1428571428573
52,05/01,207428,28236,78249,100943,Italy,1965.0,2062.0,269.0,0.009618478921586071,323.85714285714283,2304.0,2535.8571428571427
0,03/10,1695,35,32,1628,Spain,,,,0.0,,,
1,03/11,2277,54,183,2040,Spain,582.0,,19.0,0.5428571428571429,,151.0,
2,03/12,2277,55,183,2039,Spain,0.0,,1.0,0.0185185185185186,,0.0,
3,03/13,5232,133,193,4906,Spain,2955.0,,78.0,1.418181818181818,,10.0,
4,03/14,6391,195,517,5679,Spain,1159.0,,62.0,0.46616541353383467,,324.0,
5,03/15,7798,289,517,6992,Spain,1407.0,,94.0,0.4820512820512821,,0.0,
6,03/16,9942,342,530,9070,Spain,2144.0,,53.0,0.18339100346020754,,13.0,
7,03/17,11748,533,1028,10187,Spain,1806.0,1436.142857142857,191.0,0.5584795321637428,71.14285714285714,498.0,142.28571428571428
8,03/18,13910,623,1081,12206,Spain,2162.0,1661.857142857143,90.0,0.16885553470919334,81.28571428571429,53.0,128.28571428571428
